name,jurisdiction,address,lat,lng,type,comment,id
Barton Springs Road,ALL,2000 W Barton Springs Road ,30.264969,-97.764992,on,Open,716
Ramp from NB 183 to MoPac,ALL,Ramp from NB 183 to MoPac,30.378557,-97.738068,on,APD reports ramps have reopened,920
Old San Antonio @ 1626,ALL,Old San Antonio @ 1626,30.142878,-97.801559,on,Crossing is open.,1097
River Rd at Loma Vista,ALL,River Rd at Loma Vista,29.993029,-98.100533,off,Closed,1143
Convict Hill near Latta,ALL,Convict Hill near Latta,30.217197,-97.850754,on,Crossing Open ,1169
2400 Sumac Lane,CPK,"Cedar Park, TX",30.537243,-97.841324,on,Crossing is open,121
2348 Cypress Lane,CPK,"Cedar Park, TX",30.537674,-97.840584,on,Crossing is open,122
2402 Peach Tree Lane,CPK,"Cedar Park, TX",30.538385,-97.839897,on,Crossing is open,123
805 Cedar Park Drive,CPK,"Cedar Park, TX",30.511259,-97.835342,on,Crossing is open,170
