name,jurisdiction,address,lat,lng,type,comment,id
Barton Springs Road,ALL,2000 W Barton Springs Road ,30.264969,-97.764992,on,Open,716
Ramp from NB 183 to MoPac,ALL,Ramp from NB 183 to MoPac,30.378557,-97.738068,on,APD reports ramps have reopened,920
Old San Antonio @ 1626,ALL,Old San Antonio @ 1626,30.142878,-97.801559,on,Crossing is open.,1097
River Rd at Loma Vista,ALL,River Rd at Loma Vista,29.993029,-98.100533,off,Closed,1143
Convict Hill near Latta,ALL,Convict Hill near Latta,30.217197,-97.850754,on,Crossing Open ,1169
2900 Block of Bee Cave Road (RM2244) at the Finish Line Car Wash,ROL,"2944 Bee Cave Rd, Rollingwood, TX",30.270664,-97.792221,on,Crossing is open.,221
800 Block of Edgegrove Drive at Bee Cave Road,ROL,"860 Edgegrove Drive, Rollingwood, TX",30.272051,-97.788979,on,Crossing is open,222
Dellana Lane at Bee Cave Road,ROL,"2661 Dellana Ln, Rollingwood, TX",30.267593,-97.784874,on,Crossing is open,223
