name,jurisdiction code,Display community,address,lat,lng,Additional description,id,Notes,Check / manual updates for launch
260 Block of Joe Cole Ln,BCO,Bastrop County,"260 Joe Cole Ln, Smithville, TX 78957",29.964888,-97.145363,,2028,Road is closed due to washout,
200 Blk Jacobson Rd,BCO,Bastrop County,"200 Jacobson Rd, Del Valle, TX 78617",30.111088,-97.584259,,2064,,
290 @ County Line Rd,BCO,Bastrop County,"18800 US-290, Elgin, TX 78621",30.352276,-97.411942,,2081,,
East Austin @ RR Tracks,BCO,Bastrop County,"205 E Austin St, Elgin, TX 78621",30.346672,-97.368919,,2082,Roadway may flood rapidly,
TX1032 - Park Rd 1C @ Harmon Rd,BCO,Bastrop County,"300 Park Rd 1C, Smithville, TX 78957",30.109261,-97.249626,Buescher State Park entrance,2098,,
TX1033 Park Rd 1A @ Park Rd 1C,BCO,Bastrop County,"100 Park Rd 1A, Bastrop, TX, 78602",30.1129,-97.26786,Bastrop State Park,2099,,
TX1034 Park Rd 1C @ Park Rd 1E,BCO,Bastrop County,"2100 Park Rd 1C, Smithville, TX 78957",30.049189,-97.162743,Buescher State Park,2101,Roadway Closed around the entire Lake,
TX1035 Park Rd 1A @ refectory,BCO,Bastrop County,"100 Park Rd 1A, Bastrop, TX 78602",30.109131,-97.283119,Bastrop State Park entrance,2102,,
P3070 - Old San Antonio Rd @ Tributary in the 600 Blk,BCO,Bastrop County,"600 Old San Antonio Rd, Dale, TX 78616",30.027033,-97.584282,,2104,,
P2063 - Mark Young Rd @ Tributary,BCO,Bastrop County,"100 Mark Young Rd, Smithville, TX 78957",29.959169,-97.159309,,2107,Crossing is Open Pass with Caution,
P2064 - Mark Young Rd @ Tributary,BCO,Bastrop County,"200 Mark Young Rd, Smithville, TX 78957",29.9527,-97.159142,,2108,Crossing is Open Pass with Caution,
P2065 - Mark Young Rd,BCO,Bastrop County,"300 Mark Young Rd, Smithville, TX 78957",29.948175,-97.159027,,2109,Crossing is Open Pass with Caution,
P3071 - 3800 FM 535,BCO,Bastrop County,"3800 FM535, Cedar Creek, TX 78612",29.984707,-97.422379,,2110,,
COS1006 - SE Martin Luther King Dr,BCO,Bastrop County,"1000 SE Martin Luther King Dr, Smithville, TX 78957",30.000147,-97.152786,,2113,,
P2068 - Crafts Prairie Rd @ Mesa Pinto Dr,BCO,Bastrop County,"250 Crafts Prairie Rd, Bastrop, TX 78602",30.052687,-97.250786,,2114,,
P3072 - 300 FM 672,BCO,Bastrop County,"300 FM672 Dale, TX 78616",29.989796,-97.527908,,2115,,
P3073 - 500 FM 672,BCO,Bastrop County,"500 FM672 Dale, TX 78616",29.976933,-97.539192,,2116,,
P4045 - 2500 FM 1704 south of Woody Ln,BCO,Bastrop County,"2500 FM1704 Elgin, TX 78621",30.247625,-97.422241,,2131,,
P2069 - Powell Rd @ Tribuary West of Kellar Rd,BCO,Bastrop County,"5001 Powell Rd, Elgin, TX 78621",30.060041,-97.191025,,2144,,
P2074 - Big Bow (spillway) @ Indian Lake,BCO,Bastrop County,"300 Big Bow, Smithville, TX 78957",30.044922,-97.086548,,2151,,
P2075 - Circle Rd @ Pin Oak Creek,BCO,Bastrop County,"200 Circle Rd, Smithville, TX 78957",30.071442,-97.08223,,2152,,
Stockade Ranch Rd,BCO,Bastrop County,"2800 TX-21, Paige, TX 78659",30.217712,-97.114967,SH 21 to End of Road,2156,Road is flooded,
Lehman Ln,BCO,Bastrop County,"410 Lehman Ln, Bastrop, TX, 78602",30.012465,-97.415581,South of Humble Ln,2161,,
Lower Red Rock Rd,BCO,Bastrop County,"452 Humble Ln, Bastrop, TX 78602",30.007839,-97.406937,South of Humble Ln,2162,,
Post Oak Trl,BCO,Bastrop County,"203 Post Oak Trail, Cedar Creek, TX, 78612",30.104044,-97.550423,,2168,,
Turkey Ridge Rd,BCO,Bastrop County,"200 Turkey Ridge Rd, Cedar Creek, TX, 78612",30.015539,-97.537231,,2169,,
FM 812,BCO,Bastrop County,"100 Cam Del Sol, Del Valle, TX, 78617",30.093203,-97.597824,At Camino Del Sol,2170,,
Ponderosa Rd,BCO,Bastrop County,"120 Ponderosa Rd, Bastrop, TX, 78602",30.070633,-97.231033,,2172,,
Brody Ln,BCO,Bastrop County,"Brody Ln & Ponderosa Rd, Bastrop, TX, 78602",30.047083,-97.23764,,2173,Road is flooded,
Arbuckle Rd,BCO,Bastrop County,"145 Arbuckle Rd, Elgin, TX, 78621",30.286285,-97.379517,,2174,,
Whitehead St,BCO,Bastrop County,"144 Whitehead St, Smithville, TX 78957",30.002733,-97.148468,at NE 2nd St,2175,,
NE 1st St @ Marburger St,BCO,Bastrop County,"Marburger & NE 1st St, Smithville, TX 78957",30.001461,-97.147995,,2178,,
NE 6th St,BCO,Bastrop County,"Wilkes Cir & NE 6th St, Smithville, TX 78957",30.006235,-97.147057,Between Wilkes St and Whitehead St,2179,,
Faulkner Rd,BCO,Bastrop County,"1232 Faulkner Rd, Smithville, TX 78957",30.001434,-97.13916,At Oak Meadows Dr,2180,,
St Hwy 71,BCO,Bastrop County,"271 FM1209, Cedar Creek, TX, 78612",30.12224,-97.43293,East bound lane,2182,,
Sand Hiils Rd,BCO,Bastrop County,"300 Sand Hiils Rd, Red Rock, TX 78662",29.951818,-97.433235,,2184,"County Road is Open, Private 600 Blk Closed.",
Red Rock Ranch Rd,BCO,Bastrop County,"300 Red Rock Ranch Rd, Red Rock, TX 78662",29.917456,-97.406647,,2185,,
NE 8th St,BCO,Bastrop County,"800 Mills St, Smithville, TX 78957",30.010195,-97.151398,at Mills St,2187,,
FM 2104,BCO,Bastrop County,"369 FM 2104, Smithville, TX 78957",30.061934,-97.101898,,2188,,
Bateman Rd,BCO,Bastrop County,"Co Rd 265, Red Rock,TX 78662",29.934719,-97.458839,,2189,,
Jacobson Rd,BCO,Bastrop County,"16100 Jacobson Rd, Del Valle, TX 78617",30.123293,-97.598267,Maha Creek,2191,,
Cardinal Dr,BCO,Bastrop County,"627 Cardinal Dr, Paige, TX, 78659",30.187729,-97.208893,,2192,,
Pine St,BCO,Bastrop County,"1570 Pine St, Bastrop, TX 78602",30.10952,-97.309715,,2193,,
Hill St aka Dorothy Nichols Ln,BCO,Bastrop County,"1800 TX-230 Loop, Smithville, TX 78957",29.997864,-97.134712,at NE Loop 230,2195,,
Lamaloa Ln,BCO,Bastrop County,"380 Lamaloa Ln, Bastrop, TX 78602",30.090956,-97.318756,West of Rail Road,2196,,
