name,jurisdiction,address,lat,lng,type,comment,id
Lone Oak Trail at Sunset Valley Trib,SSV,"Sunset Valley, TX",30.226772,-97.810463,on,open,113
Pillow Road at Sunset Valley Trib,SSV,"Sunset Valley, TX",30.225208,-97.809402,on,open,114
Reese Drive at Sunset Valley Trib,SSV,"Sunset Valley, TX",30.224424,-97.80732,on,open,116
Sunset Trail at Sunset Valley Trib,SSV,"Sunset Valley, TX",30.224474,-97.806259,on,open,275
