name,jurisdiction,Display Community,address,lat,lng,Additional description,id,Status notes,
Hurlock Rd ,FCO,Fayette County,"10599 Hurlok Rd, Muldoon, TX 78949",29.865511,-97.150253,at Buckners Creek,1246,,
Jeddo Rd ,FCO,Fayette County,"6750 Jeddo Rd, Waelder, TX 78959",29.818254,-97.254112,at Peach Creek,1247,,
Jurica Rd ,FCO,Fayette County,"3010 Jurica Rd, Schulenburg, TX 78956",29.651196,-97.021851,at Mulberry Creek,1248,,
Ladewig Ln ,FCO,Fayette County,"Ladewig Ln, Schulenburg, TX 78956",29.701662,-97.039963,at Rocky Creek Rd,1250,,
Louis Herzik Rd ,FCO,Fayette County,"8240 Louis Herzik Rd, Schulenburg, TX 78956",29.680021,-97.026833,at Brushy Creek,1251,,
Maynard Hallmark Rd ,FCO,Fayette County,"5600 Maynard Hallmark Rd, Waelder, TX 78959",29.783844,-97.259644,at Father Anders Loop,1252,,
Mulberry Creek Rd ,FCO,Fayette County,"2600 Mulberry Creek Rd, Flatonia, TX 78941",29.673367,-97.083008,at Mulberry Creek,1253,,
S Old Smithville Rd ,FCO,Fayette County,"3100 S Old Smithville Rd, Texas",29.797997,-97.135643,near Cherry Rd,1254,,
S Old Smithville Rd ,FCO,Fayette County,"S Old Smithville Rd, Flatonia, TX 78941",29.826315,-97.139442,near Holstein Rd,1255,,
N Old Smithville Rd ,FCO,Fayette County,"1200 N Old Smithville Rd, Muldoon, TX 78949",29.851349,-97.133881,near FM 2237,1256,,
Old Waelder Rd ,FCO,Fayette County,"4800 Old Waelder Rd, Flatonia, TX 78941",29.694319,-97.185829,near Webb Ln,1257,,
E Parker Rd ,FCO,Fayette County,"1492 E Parker Rd, Flatonia, TX 78941",29.769745,-97.079895,at Pin Oak Creek,1258,,
Parkerville Rd ,FCO,Fayette County,"1507 Parkerville Rd, Muldoon, TX 78949",29.808664,-97.115257,at Live Oak Creek,1259,,
Pavlica Rd ,FCO,Fayette County,"3086 Pavlica Rd, Flatonia, TX 78941",29.718809,-97.163322,1/2 mi N of FM 2762,1260,,
